 ['Ben Gilbert', '384', '37.09'],
 ['Jamey Solt', '385', '37.13'],
 ['DYLAN Fujita', '386', '37.18'],
 ['Stuart Deng', '387', '37.29'],
 ['Toprak Topaloğlu', '388', '37.37'],
 ['Zach Newman', '389', '37.38'],
 ['Connor Smith', '390', '37.41'],
 ['Bennett Bacon', '391', '37.42'],
 ['Rostik Khilko', '392', '37.44'],
 ['Nicholas Kirby', '393', '37.51'],
 ['Kai Whelan', '393', '37.51'],
 ['Christopher Jeong', '395', '37.65'],
 ['George Wang', '396', '37.66'],
 ['Blair Wootson', '397', '37.67'],
 ['Luke Deegan', '397', '37.67'],
 ['Kelly Franks', '399', '37.90'],
 ['Dylan Anderson', '400', '37.91'],
 ['Henrico Jordaan', '400', '37.91'],
 ['Sebastian Hendrawan', '402', '37.94'],
 ['Orca Srirojanant', '403', '38.03'],
 ['Chandler Rose', '404', '38.09'],
 ['Carter Medlin', '405', '38.11'],
 ['Brian Hamilton', '406', '38.13'],
 ['MJ Covington', '407', '38.16'],
 ['Jonathan Packles', '408', '38.18'],
 ['Kyle Gadsby', '409', '38.23'],
 ['Ata Sarikaya', '410', '38.26'],
 ['Austin Conover Hustis', '411', '38.38'],
 ['Brady Turner', '412', '38.40'],
 ['Nathaniel Kern', '412', '38.40'],
 ['Adam Houck', '412', '38.40'],
 ['Gavin Cameto', '412', '38.40'],
 ['Makoa Cox', '416', '38.45'],
 ['Jack Langan', '417', '38.49'],
 ['Dylan J Glanville', '418', '38.50'],
 ['Graham Woodruff', '418', '38.50'],
 ['Rinzen Sherpa', '420', '38.58'],
 ['Grant Fleming', '421', '38.65'],
 ['Jude Hill', '422', '38.71'],
 ['Brady Beauch', '423', '38.79'],
 ['William Athanas', '424', '38.81'],
 ['Kota Charles', '425', '38.84'],
 ['Braden Michaels', '426', '38.85'],
 ['Victor Pan', '427', '38.90'],
 ['Colton Houck', '427', '38.90'],
 ['Troy Salpeter', '429', '38.91'],
 ['Johnny Macko', '430', '38.96'],
 ['Joey Lisi', '431', '39.03'],
 ['Ivan Chakarov', '432', '39.06'],
 ['Anderson Baird', '433', '39.09'],
 ['Maty Posternak', '434', '39.10'],
 ['Landon Cleland', '435', '39.14'],
 ['Henry Mura', '436', '39.26'],
 ['Daniel Stowell', '437', '39.29'],
 ['TJ Veach', '437', '39.29'],
 ['Dixon Hamilton', '439', '39.30'],
 ['Sam Fields', '440', '39.35'],
 ['Thomas Jorgensen', '441', '39.41'],
 ['Connor Good', '442', '39.42'],
 ['Caden Zhao', '443', '39.58'],
 ['Daniel Xia', '444', '39.59'],
 ['Zeke Wickham', '445', '39.64'],
 ['Hiro Fukui', '446', '39.66'],
 ['Eli Rachmady', '447', '39.70'],
 ['Wyatt Sylvester', '448', '39.71'],
 ['Allen Wang', '449', '39.74'],
 ['Alejandro Pina Vera', '450', '39.80'],
 ['Kevin Lee', '451', '39.81'],
 ['Zane Schuman', '452', '39.84'],
 ['Dimitar Popov', '453', '39.89'],
 ['Evan Ripp', '454', '39.91'],
 ['Lex Plasier', '455', '39.92'],
 ['Tristan Curb', '456', '39.95'],
 ['Gus Castilho', '457', '39.96'],
 ['Allen Klingel', '458', '40.03'],
 ['Jomar Hidalgo', '458', '40.03'],
 ['Alex Jian', '458', '40.03'],
 ['Josh Lack', '461', '40.04'],
 ['Jack Spalding', '462', '40.13'],
